189, 1024, 1000, 100, 2,44154.58,47189.20,  0.50,  0.50, 
190, 1024, 1000, 100, 8,44498.91,47620.60,  0.12,  0.12, 
191, 1024, 1000, 100, 16,44762.52,47964.00,  0.06,  0.06, 
192, 1024, 1000, 100, 32,45116.84,48586.35,  0.03,  0.03, 
193, 10240, 50, 0, 2,54111.58,57580.15,  0.50,  0.50, 
194, 10240, 50, 0, 8,63636.00,67183.36,  0.12,  0.12, 
195, 10240, 50, 0, 16,73006.99,76636.35,  0.06,  0.06, 
196, 10240, 50, 0, 32,82628.94,86280.72,  0.03,  0.03, 
197, 10240, 50, 100, 2,91035.78,95813.23,  0.50,  0.50, 
198, 10240, 50, 100, 8,96827.41,102467.00,  0.12,  0.12, 
199, 10240, 50, 100, 16,101756.62,109881.97,  0.06,  0.06, 
200, 10240, 50, 100, 32,107097.42,116595.28,  0.03,  0.03, 
201, 10240, 250, 0, 2,108388.85,119486.09,  0.50,  0.50, 
202, 10240, 250, 0, 8,114732.43,127164.29,  0.12,  0.12, 
203, 10240, 250, 0, 16,122126.75,135256.78,  0.06,  0.06, 
204, 10240, 250, 0, 32,130397.31,143715.67,  0.03,  0.03, 
205, 10240, 250, 100, 2,131293.64,145811.37,  0.50,  0.50, 
